教師類型,姓名,研究領域
Full-time,:::,物連網系統、視訊串流、通訊系統、影像處理
Full-time,:::,物連網系統、視訊串流、通訊系統、影像處理
Full-time,專任師資,物連網系統、視訊串流、通訊系統、影像處理
Full-time,張文鐘 (Wen-Thong Chang),物連網系統、視訊串流、通訊系統、影像處理
Full-time,蔡進發 （Jeffrey J.P. Tsai）,人工智能、生物資料、軟體工程、分散式即時系統
Full-time,許聞廉(Wen-Lian Hsu),演算法分析、生物資訊、計算語言、自然語言理解、智慧型對話系統
Full-time,陳良弼(Arbee L.P. Chen),巨量資料分析、資料庫偏愛查詢、行動資訊系統
Full-time,黃明祥(Min-Shiang Hwang),資訊與網路安全、密碼與藏密學、區塊鏈技術、智慧運算與行動通訊、管理資訊系統
Full-time,許慶賢(Ching-Hsien Hsu),雲端計算、人工智慧與應用、高性能計算、大數據與串流運算、平行與分散式系統、智慧醫療
Full-time,李文熙(Wen-Hsi Lee),有機薄膜電晶體、半導體薄膜製程、薄膜太陽能電池、電子陶瓷、射頻陶瓷元件、系統構裝
Full-time,陳錫明(Shyi-Ming Chen),模糊系統、智慧型系統、模糊決策、智慧型計算、知識庫系統、機器學習、資料探勘、大數據分析、遺傳演算法、粒子群最佳化演算法、類神經網路
Full-time,洪西進(Shi-Jinn Horng),深度學習與大數據、生物辨識技術、資訊安全、雲端和容錯計算、多媒體應用、醫療應用
Full-time,詹景裕(Gene-Eu Jan),電腦結構、平行處理、交換網路、超大型積體電路設計
Full-time,蔡秀芬(Shiow-Fon Tsay),凝態物理理論、計算物理、工程數學
Full-time,蕭進松(Chin-Sung Hsiao),光電半導體、奈米電漿元件、積體光學、電磁計算
Full-time,陳興忠(Hsing-Chung Chen),資通訊安全、人工智慧、應用密碼學、智慧物聯網、 區塊鏈技術應用與安全、量子安全供應信賴鏈
Full-time,Brij Bhooshan Gupta,資訊安全、計算機網路、軟體工程
Full-time,施能義(Neng-Yih Shih),計算處理與應用、無線感測與轉換、智慧控制系統、定位與追縱
Full-time,林俊淵(Chun-Yuan Lin),"平行與分散式處理 (MPI, OpenMP, CUDA)、生物資訊(基因體學、蛋白質體學、系統生物學、Solexa)、平行與分散式演算法、資料探勘與機器學習"
Full-time,蔡志仁(Zhi-Ren Tsai),適應控制、電腦視覺、機器人學、電力電子
Full-time,曾憲章Zeng Xianzhang,[擷取失敗]
Full-time,Tadao Murata,"Applications of Petri nets to problems related to the design, modeling, analysis, and performance of concurrent systems such as the following: distributed/communication software, network protocols, logic- and rule-based AI systems, manufacturing systems, parallel computing systems, and systems with fuzzy latency."
Full-time,李錦輝 (Chin-Hui Lee),[擷取失敗]
Full-time,黃光彩(Kuan Tsae Huang),電機工程
Part-time,:::,個人通信網路、行動計算、系統模擬
Part-time,:::,個人通信網路、行動計算、系統模擬
Part-time,林一平 (Jason Yi-Bing Lin),個人通信網路、行動計算、系統模擬
Part-time,劉育寰 (Liu Yuhuan),網路管理、系統管理、程式設計、醫學影像處理、圖訊識別、人工智慧、大數據分析、網頁設計、物聯網
Part-time,林詠章 (Lin Yongzhang),資訊安全、區塊鏈應用、精準健康、智慧醫療、工控安全
Part-time,李正吉 (Li Zhengji),行動通訊、資訊安全、密碼學、資訊網路與網路安全
Part-time,張嘉淵 (Zhang Jiayuan),雲端運算、大數據分析、演算法、社群媒體、人工智慧物聯網、人本創新應用
Part-time,徐中行 (Xu Zhongxing),"Software methods (including algorithms, compilers, systems software, and tools) that can enable the synergistic use of many dynamic, heterogeneous hardware resources for enhancing quality of services such as performance, energy efficiency,
programmability, and portability."
Part-time,梁文隆(Wen-Lung Liang),[擷取失敗]
Part-time,陳榮燊 (Chen Rongshen),光學工程、白光照明、顯示技術、生醫光電、太陽能光電、虛擬實境
Part-time,廖益聖(Liao Yisheng),機器學習、臨床神經學研究
Part-time,陳義吉(Chen Yiji),自動化製鞋機器設計開發、非破壞性檢測設備設計開發(涉獵領域:AOI 檢測、渦電流探傷)、自動化設備開發設計、客製化機器設計開發、政府計畫案(CITD、 SBIR、業界科專)輔導
Part-time,高興全(Gao Xingquan),網站設計、網站企劃、網站攝影企劃、品牌設計、品牌策略
Part-time,張峯銘(Chang Fengming),小資料學習、人工智慧、資料探勘、模糊類神經、網際網路、程式語言、彈性製造系統
Part-time,曹世昌(Shyh-Chang Tsaur),《RFID 原理》、《應用與實施》；資料庫系統理論與應用；雲端運算簡介：走進APP軟體世界。
Part-time,許健(Gene Sheu),電子電路、微電子、產品研發、積體電路
Part-time,"黃麒昌(HUANG,CHI-CHANG)",醫療資訊、醫療影像、程式設計、儀器連線
Part-time,"周存貹(CHOU,TSUN-SHENG)",資訊安全，資料安全技術，資安產品開發
Part-time,"吳怡德(WU,I-TE)",智慧化系統的應用、節能系統、碳足跡管理、永續管理
Part-time,"温在昇(Wen, Chai-Sheng)",半導體產業、半導體測試、訊號處理、水下聲學
